*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=SkinnerDuino_05b
*Date=16:59:06
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;4.2164;-15.6454;0;Bottom;Copper Fill94
2;;;31.2675;-46.3794;0;Bottom;Copper Fill57
3;;;57.6073;-17.4869;0;Bottom;Copper Fill22
4;;;55.0673;-20.1031;0;Bottom;Copper Fill17
5;;;35.6695;-44.9349;0;Bottom;Via3
6;;;17.0821;-10.3422;0;Bottom;Via4
7;;;38.5573;-39.0769;0;Bottom;Copper Fill6
8;;;63.5763;-15.6454;0;Bottom;Copper Fill58
9;;;43.1674;-2.06908;0;Bottom;Copper Fill126
10;;;45.047;-7.58088;0;Bottom;Copper Fill52
11;;;30.4166;-45.5285;0;Bottom;Copper Fill124
12;560;THT;10.2;-15.5788;180;Bottom;R1
13;;;64.7955;-27.0627;0;Bottom;Copper Fill12
14;330;THT;4.58806;-24.8964;90;Bottom;R5
15;;THT;54.9812;-12.9976;-90;Bottom;5V
16;;to-92;52.1658;-29.8869;180;Bottom;N2222A
17;;;40.6782;-3.72008;0;Bottom;Copper Fill127
18;;3 mm [THT];21.1048;-26.6127;-90;Bottom;LED4
19;;;57.6073;-20.1031;0;Bottom;Copper Fill80
20;;;55.7531;-32.5618;0;Bottom;Copper Fill114
21;;;55.0673;-20.1031;0;Bottom;Copper Fill79
22;;;37.3254;-30.4409;0;Bottom;Copper Fill32
23;;;48.1077;-23.3797;0;Bottom;Copper Fill10
24;;;54.8006;-47.5859;0;Bottom;Copper Fill119
25;;;62.3317;-6.28548;0;Bottom;Copper Fill87
26;;;58.9706;-23.4926;-90;Bottom;TXT6
27;;;26.4542;-51.9801;0;Bottom;Copper Fill66
28;;;34.7854;-30.4409;0;Bottom;Copper Fill37
29;;;7.3533;-20.6619;0;Bottom;Copper Fill35
30;;;40.6782;-2.06908;0;Bottom;Copper Fill62
31;;;55.7531;-32.5618;0;Bottom;Copper Fill47
32;;THT;54.9806;-7.88286;-90;Bottom;AIO
33;;THT;41.8271;-16.1667;90;Bottom;OUT10
34;;;52.5273;-17.4869;0;Bottom;Copper Fill20
35;;;57.6073;-20.1031;0;Bottom;Copper Fill18
36;;THT;30.7467;-38.7823;-90;Bottom;OUT6
37;;;10.4014;-18.9093;0;Bottom;Copper Fill34
38;;;44.1961;-8.43178;0;Bottom;Copper Fill118
39;;;40.6782;-2.06908;0;Bottom;Copper Fill128
40;;;67.6149;-12.699;0;Bottom;Copper Fill113
41;;;15.9386;-44.1569;0;Bottom;Copper Fill63
42;;;64.7955;-29.5773;0;Bottom;Copper Fill9
43;;;56.2807;-23.5547;-90;Bottom;TXT6
